node,node_type,regulatory_layer,proximal_distal,output_program,developmental_relevance,role_status,relevant_source,evidence_one_liner
NKX2-1,transcription_factor,master_regulator,both,both,high,well_established,HLCA - Human Lung Cell Atlas (core),NKX2-1 (TTF-1) defines lung epithelial identity and is expressed across airway and alveolar epithelium in the adult HLCA reference.
NKX2-1,transcription_factor,master_regulator,both,both,high,well_established,Pan-fetal human cell atlas (Cao et al. 2020),Captures NKX2-1 onset in the fetal endoderm-derived lung epithelial lineage in a multi-organ context.
NKX2-1,transcription_factor,master_regulator,both,both,high,well_established,Human fetal lung atlas (He et al. 2022),Resolves NKX2-1 expression across pseudoglandular to canalicular stages with spatial context.
NKX2-1,transcription_factor,master_regulator,both,both,high,well_established,LungMAP human developmental scRNA-seq projects,Stage-resolved NKX2-1 expression across human lung development.
NKX2-1,transcription_factor,master_regulator,both,both,high,well_established,NKX2-1 ChIP-seq experiments (any biosample),Direct regulatory binding map; lung-context coverage is patchy and must be cross-checked.
SOX2,transcription_factor,progenitor_marker,proximal,airway,high,well_established,HLCA - Human Lung Cell Atlas (core),SOX2 enriched in adult airway basal and secretory cells; serves as a proximal-airway identity marker.
SOX2,transcription_factor,progenitor_marker,proximal,airway,high,well_established,Human fetal lung atlas (He et al. 2022),SOX2+ proximal airway progenitors distinguishable from SOX9+ distal tip cells in fetal lung.
SOX2,transcription_factor,progenitor_marker,proximal,airway,high,well_established,LungMAP human developmental scRNA-seq projects,Cross-stage SOX2 expression along the developing airway tree.
SOX2,transcription_factor,progenitor_marker,proximal,airway,high,well_established,SOX2 ChIP-seq experiments (any biosample),Available SOX2 ChIP is mostly non-lung (ESC/neural); use motif inference for lung-specific predictions.
SOX9,transcription_factor,progenitor_marker,distal,alveolar,high,well_established,Human fetal lung atlas (He et al. 2022),SOX9+ distal tip progenitors give rise to alveolar lineages; clearly resolved in fetal data.
SOX9,transcription_factor,progenitor_marker,distal,alveolar,high,well_established,Pan-fetal human cell atlas (Cao et al. 2020),Fetal SOX9 expression in lung distal tips appears in pan-fetal atlas annotations.
SOX9,transcription_factor,progenitor_marker,distal,alveolar,high,well_established,LungMAP human developmental scRNA-seq projects,Stage-resolved SOX9 dynamics through the canalicular and saccular stages.
SOX9,transcription_factor,progenitor_marker,distal,alveolar,high,well_established,SOX9 ChIP-seq experiments (any biosample),Lung-specific SOX9 ChIP coverage is limited; non-lung tracks inform shared cofactor logic only.
FGF10,signaling_ligand,signaling_ligand,distal,alveolar,high,well_established,Human fetal lung atlas (He et al. 2022),Mesenchymal FGF10 signals to distal epithelial FGFR2b; spatial data confirms the gradient driving branching.
FGF10,signaling_ligand,signaling_ligand,distal,alveolar,high,well_established,LungMAP human developmental scRNA-seq projects,Mesenchymal FGF10 expression captured across human developmental stages.
FGF10,signaling_ligand,signaling_ligand,distal,alveolar,high,well_established,LungMAP mouse developmental scRNA-seq projects,Mouse FGF10 mesenchymal-to-distal-epithelial signaling is the canonical model; LungMAP mouse data anchors cross-species comparison.
WNT,signaling_pathway,signaling_ligand,both,both,high,partial,Human fetal lung atlas (He et al. 2022),WNT ligands and target genes (AXIN2, LGR5) show stage- and region-specific patterns in fetal lung.
WNT,signaling_pathway,signaling_ligand,both,both,high,partial,LungMAP human developmental scRNA-seq projects,Multiple WNT ligands and antagonists co-expressed across mesenchymal and epithelial compartments.
WNT,signaling_pathway,signaling_ligand,both,both,high,partial,Lung CellCards (curated cell-type definitions),Curated cell-type-level summaries flag WNT-responsive populations and their lineage outputs.
BMP,signaling_pathway,signaling_ligand,both,both,medium,partial,Human fetal lung atlas (He et al. 2022),BMP4 and BMP antagonists (NOG) show proximal-distal patterning in fetal lung scRNA-seq.
BMP,signaling_pathway,signaling_ligand,both,both,medium,partial,LungMAP human developmental scRNA-seq projects,BMP ligand and receptor expression resolved across developmental stages.
SHH,signaling_pathway,signaling_ligand,both,both,medium,partial,Human fetal lung atlas (He et al. 2022),Epithelial SHH signals to mesenchymal PTCH1/GLI1; supports branching morphogenesis.
SHH,signaling_pathway,signaling_ligand,both,both,medium,partial,LungMAP mouse developmental scRNA-seq projects,Mouse SHH knockout phenotype anchors the loss-of-function literature; mouse atlas provides the wildtype baseline.
airway_program,output_program,output_program,proximal,airway,high,well_established,HLCA - Human Lung Cell Atlas (core),Adult airway epithelial cell types (basal, secretory, ciliated) are well-annotated in the HLCA core.
airway_program,output_program,output_program,proximal,airway,high,well_established,Lung CellCards (curated cell-type definitions),Curated airway cell-type definitions with marker genes (KRT5, SCGB1A1, FOXJ1) provide an editorial cross-check.
airway_program,output_program,output_program,proximal,airway,high,well_established,LungMAP human developmental scRNA-seq projects,Stage-resolved emergence of airway epithelial subtypes through development.
alveolar_program,output_program,output_program,distal,alveolar,high,well_established,HLCA - Human Lung Cell Atlas (core),AT1 and AT2 alveolar cell populations annotated and integrated across donors in HLCA core.
alveolar_program,output_program,output_program,distal,alveolar,high,well_established,Lung CellCards (curated cell-type definitions),Curated alveolar cell-type definitions (AGER, SFTPC) for cross-checking annotations.
alveolar_program,output_program,output_program,distal,alveolar,high,well_established,LungMAP human developmental scRNA-seq projects,Stage-resolved emergence of AT1/AT2 lineages through saccular and alveolar stages.
alveolar_program,output_program,output_program,distal,alveolar,high,well_established,Human fetal lung atlas (He et al. 2022),Fetal alveolar progenitor specification observable with spatial context.
