regulator,target,relationship_type,v2_class,changed_from_extended_audit,encode_n_human_lung,encode_n_human_other,encode_n_mouse,chipatlas_n_hg38_total,chipatlas_n_hg38_lung,chipatlas_n_hg38_other,peak_intersection_summary,locus_test_status,justification,evidence_url
NKX2-1,SFTPC,master_to_output,direct_human_lung_evidence,yes,0,0,0,21,21,0,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=21). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=NKX2-1&format=json
NKX2-1,SFTPB,master_to_output,direct_human_lung_evidence,yes,0,0,0,21,21,0,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=21). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=NKX2-1&format=json
NKX2-1,SCGB1A1,master_to_output,direct_human_lung_evidence,yes,0,0,0,21,21,0,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=21). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=NKX2-1&format=json
NKX2-1,ABCA3,master_to_output,direct_human_lung_evidence,yes,0,0,0,21,21,0,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=21). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=NKX2-1&format=json
NKX2-1,SOX2,master_to_progenitor,direct_human_lung_evidence,yes,0,0,0,21,21,0,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=21). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=NKX2-1&format=json
NKX2-1,SOX9,master_to_progenitor,direct_human_lung_evidence,yes,0,0,0,21,21,0,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=21). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=NKX2-1&format=json
NKX2-1,FOXA2,master_to_master,direct_human_lung_evidence,yes,0,0,0,21,21,0,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=21). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=NKX2-1&format=json
SOX2,KRT5,progenitor_to_output,direct_human_lung_evidence,yes,0,0,0,95,27,68,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=27). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=SOX2&format=json
SOX2,TP63,progenitor_to_output,direct_human_lung_evidence,yes,0,0,0,95,27,68,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=27). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=SOX2&format=json
SOX2,MUC5B,progenitor_to_output,direct_human_lung_evidence,yes,0,0,0,95,27,68,No peak intersection performed for this pair.,not_tested,"Lung-context source-level evidence found (ENCODE lung=0, ChIP-Atlas lung=27). Locus test not_tested. Lung-context here means any biosample with a 'lung' substring -- INCLUDES lung cancer cell lines (e.g. NCI-H441, A549); cancer-vs-primary-tissue refinement is a v2.x followup.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=SOX2&format=json
SOX9,SFTPC,progenitor_to_output,direct_human_non_lung_evidence,yes,0,0,0,27,0,27,No peak intersection performed for this pair.,not_tested,"Non-lung source-level evidence only (ENCODE other=0, ChIP-Atlas other=27; no lung hits in either source). Locus test not_tested. Cross-tissue applicability uncertain.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=SOX9&format=json
SOX9,ID2,progenitor_to_output,direct_human_non_lung_evidence,yes,0,0,0,27,0,27,No peak intersection performed for this pair.,not_tested,"Non-lung source-level evidence only (ENCODE other=0, ChIP-Atlas other=27; no lung hits in either source). Locus test not_tested. Cross-tissue applicability uncertain.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=SOX9&format=json
CTNNB1,AXIN2,pathway_effector_to_target,direct_human_non_lung_evidence,yes,0,0,0,78,0,78,No peak intersection performed for this pair.,not_tested,"Non-lung source-level evidence only (ENCODE other=0, ChIP-Atlas other=78; no lung hits in either source). Locus test not_tested. Cross-tissue applicability uncertain.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=CTNNB1&format=json
CTNNB1,LEF1,pathway_effector_to_target,direct_human_non_lung_evidence,yes,0,0,0,78,0,78,No peak intersection performed for this pair.,not_tested,"Non-lung source-level evidence only (ENCODE other=0, ChIP-Atlas other=78; no lung hits in either source). Locus test not_tested. Cross-tissue applicability uncertain.",https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=CTNNB1&format=json
SMAD1,ID1,pathway_effector_to_target,peak_validated_at_target_locus,yes,0,3,0,42,0,42,"supports=1, weak=1, absent=1, total_experiments=3",passed,"Peak intersection result: supports=1, weak=1, absent=1, total_experiments=3. At least one ChIP-seq peak overlaps or sits within +/- 50 kb of the ID1 TSS. Source-level: ENCODE lung=0, other=3; ChIP-Atlas lung=0, other=42.",https://www.encodeproject.org/experiments/ENCSR213QOZ/
SMAD1,ID2,pathway_effector_to_target,peak_validated_at_target_locus,yes,0,3,0,42,0,42,"supports=2, weak=1, absent=0, total_experiments=3",passed,"Peak intersection result: supports=2, weak=1, absent=0, total_experiments=3. At least one ChIP-seq peak overlaps or sits within +/- 50 kb of the ID2 TSS. Source-level: ENCODE lung=0, other=3; ChIP-Atlas lung=0, other=42.",https://www.encodeproject.org/experiments/ENCSR213QOZ/
GLI2,PTCH1,pathway_effector_to_target,direct_human_non_lung_evidence,no,0,1,0,4,0,4,no peaks within +/- 50 kb of TSS in 1 of 1 experiment(s),failed,"Non-lung source-level evidence only (ENCODE other=1, ChIP-Atlas other=4; no lung hits in either source). Locus test failed. Cross-tissue applicability uncertain.",https://www.encodeproject.org/experiments/ENCSR978EQY/
GLI2,GLI1,pathway_effector_to_target,direct_human_non_lung_evidence,no,0,1,0,4,0,4,no peaks within +/- 50 kb of TSS in 1 of 1 experiment(s),failed,"Non-lung source-level evidence only (ENCODE other=1, ChIP-Atlas other=4; no lung hits in either source). Locus test failed. Cross-tissue applicability uncertain.",https://www.encodeproject.org/experiments/ENCSR978EQY/
