regulator,target,relationship_type,evidence_class,species_with_evidence,source_type,tissue_relevance,n_human_lung_chip,n_human_other_chip,n_mouse_chip,justification,evidence_url
NKX2-1,SFTPC,master_to_output,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for NKX2-1 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
NKX2-1,SFTPB,master_to_output,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for NKX2-1 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
NKX2-1,SCGB1A1,master_to_output,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for NKX2-1 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
NKX2-1,ABCA3,master_to_output,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for NKX2-1 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
NKX2-1,SOX2,master_to_progenitor,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for NKX2-1 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
NKX2-1,SOX9,master_to_progenitor,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for NKX2-1 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
NKX2-1,FOXA2,master_to_master,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for NKX2-1 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
SOX2,KRT5,progenitor_to_output,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for SOX2 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
SOX2,TP63,progenitor_to_output,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for SOX2 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
SOX2,MUC5B,progenitor_to_output,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for SOX2 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
SOX9,SFTPC,progenitor_to_output,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for SOX9 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
SOX9,ID2,progenitor_to_output,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for SOX9 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
CTNNB1,AXIN2,pathway_effector_to_target,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for CTNNB1 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
CTNNB1,LEF1,pathway_effector_to_target,literature_curation_only,none,none,n/a,0,0,0,"No ENCODE TF ChIP-seq found for CTNNB1 in any species or tissue. Relationship is literature-curated; absence here is absence of supporting public data, not absence of relationship.",n/a
SMAD1,ID1,pathway_effector_to_target,indirect_human_evidence,human,TF_ChIP-seq,non-lung,0,3,0,No human lung TF ChIP for SMAD1; 3 human TF ChIP experiment(s) in non-lung biosamples found (3 total human experiments). Cross-tissue applicability uncertain.,https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=SMAD1&format=json&limit=1&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens
SMAD1,ID2,pathway_effector_to_target,indirect_human_evidence,human,TF_ChIP-seq,non-lung,0,3,0,No human lung TF ChIP for SMAD1; 3 human TF ChIP experiment(s) in non-lung biosamples found (3 total human experiments). Cross-tissue applicability uncertain.,https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=SMAD1&format=json&limit=1&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens
GLI2,PTCH1,pathway_effector_to_target,indirect_human_evidence,human,TF_ChIP-seq,non-lung,0,1,0,No human lung TF ChIP for GLI2; 1 human TF ChIP experiment(s) in non-lung biosamples found (1 total human experiments). Cross-tissue applicability uncertain.,https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=GLI2&format=json&limit=1&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens
GLI2,GLI1,pathway_effector_to_target,indirect_human_evidence,human,TF_ChIP-seq,non-lung,0,1,0,No human lung TF ChIP for GLI2; 1 human TF ChIP experiment(s) in non-lung biosamples found (1 total human experiments). Cross-tissue applicability uncertain.,https://www.encodeproject.org/search/?type=Experiment&assay_title=TF+ChIP-seq&target.label=GLI2&format=json&limit=1&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens
